arm_num	unique_event_name	form
2	visite_4_arm_2	e08_voet_schoeisel
2	visite_4_arm_2	e20_udi_movemonitor
2	visite_4_arm_2	e21_eq5d5l
2	visite_4_arm_2	e24_drukherverdeling_oc
2	visite_4_arm_2	e25_udi_orthotimer
2	visite_4_arm_2	e27_udi_movemonitor_retour
2	visite_4_arm_2	e31_therapietrouw
2	visite_4_arm_2	e32_feedback_therapietrouw
2	visite_4_arm_2	e33_vervanging
2	visite_4_arm_2	e34_imcq
2	visite_4_arm_2	e35_ipcq
2	visite_4_arm_2	e45b_dagboek_3mnd
2	visite_4_arm_2	visit
2	visite_5_arm_2	concomitant_therapy
2	visite_5_arm_2	e08_voet_schoeisel
2	visite_5_arm_2	e21_eq5d5l
2	visite_5_arm_2	e25_udi_orthotimer
2	visite_5_arm_2	e31_therapietrouw
2	visite_5_arm_2	e32_feedback_therapietrouw
2	visite_5_arm_2	e33_vervanging
2	visite_5_arm_2	e34_imcq
2	visite_5_arm_2	e35_ipcq
2	visite_5_arm_2	e45b_dagboek_3mnd
2	visite_5_arm_2	visit
2	visite_6_arm_2	concomitant_therapy
2	visite_6_arm_2	e08_voet_schoeisel
2	visite_6_arm_2	e21_eq5d5l
2	visite_6_arm_2	e24_drukherverdeling_oc
2	visite_6_arm_2	e25_udi_orthotimer
2	visite_6_arm_2	e31_therapietrouw
2	visite_6_arm_2	e32_feedback_therapietrouw
2	visite_6_arm_2	e33_vervanging
2	visite_6_arm_2	e34_imcq
2	visite_6_arm_2	e35_ipcq
2	visite_6_arm_2	e45b_dagboek_3mnd
2	visite_6_arm_2	visit
2	visite_7_arm_2	concomitant_therapy
2	visite_7_arm_2	e08_voet_schoeisel
2	visite_7_arm_2	e21_eq5d5l
2	visite_7_arm_2	e25_udi_orthotimer
2	visite_7_arm_2	e31_therapietrouw
2	visite_7_arm_2	e32_feedback_therapietrouw
2	visite_7_arm_2	e33_vervanging
2	visite_7_arm_2	e34_imcq
2	visite_7_arm_2	e35_ipcq
2	visite_7_arm_2	e45b_dagboek_3mnd
2	visite_7_arm_2	visit
2	visite_8_arm_2	concomitant_therapy
2	visite_8_arm_2	e08_voet_schoeisel
2	visite_8_arm_2	e12_vas_tevredenheid
2	visite_8_arm_2	e21_eq5d5l
2	visite_8_arm_2	e24_drukherverdeling_oc
2	visite_8_arm_2	e25_udi_orthotimer
2	visite_8_arm_2	e31_therapietrouw
2	visite_8_arm_2	e32_feedback_therapietrouw
2	visite_8_arm_2	e33_vervanging
2	visite_8_arm_2	e34_imcq
2	visite_8_arm_2	e35_ipcq
2	visite_8_arm_2	e45b_dagboek_3mnd
2	visite_8_arm_2	visit
