Variable / Field Name;Form Name;Section Header;Field Type;Field Label;Choices, Calculations, OR Slider Labels;Field Note;Text Validation Type OR Show Slider Number;Text Validation Min;Text Validation Max;Identifier?;Branching Logic (Show field only if...);Required Field?;Custom Alignment;Question Number (surveys only);Matrix Group Name;Matrix Ranking?;Field Annotation
e24oc_datum;e24_drukherverdeling_oc;;text;Datum van de meting;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e24oc_moment;e24_drukherverdeling_oc;1. Meetopzet;radio;Meetmoment;1, Visite 2, aflevering van de CMFO|2, Maand 6|3, Maand 12|4, Maand 18;;;;;;;y;;;;;
e24oc_overgenomen;e24_drukherverdeling_oc;;yesno;Doelregio’s overgenomen van het vorige formulier;;Op maand 6, 12 en 18 worden de regio’s niet opnieuw gekozen;;;;;[e24oc_moment] <> '1';;;;;;
e24oc_snelheid;e24_drukherverdeling_oc;;text;Loopsnelheid (m/s);;Binnen 5% van de baselinesnelheid;number_2dp;;;;;;;;;;
e24oc_zon_hiel_li;e24_drukherverdeling_oc;2. Piekdruk per regio, in-shoe zónder de CMFO;text;Hiel, links;;In kPa. Deze meting is de referentie van dít moment, niet die van baseline;number_1dp;0;;;;;;;;;
e24oc_zon_hiel_re;e24_drukherverdeling_oc;;text;Hiel, rechts;;;number_1dp;0;;;;;;;;;
e24oc_zon_midmed_li;e24_drukherverdeling_oc;;text;Mediale middenvoet, links;;;number_1dp;0;;;;;;;;;
e24oc_zon_midmed_re;e24_drukherverdeling_oc;;text;Mediale middenvoet, rechts;;;number_1dp;0;;;;;;;;;
e24oc_zon_midlat_li;e24_drukherverdeling_oc;;text;Laterale middenvoet, links;;;number_1dp;0;;;;;;;;;
e24oc_zon_midlat_re;e24_drukherverdeling_oc;;text;Laterale middenvoet, rechts;;;number_1dp;0;;;;;;;;;
e24oc_zon_mt1_li;e24_drukherverdeling_oc;;text;Metatarsaal 1, links;;;number_1dp;0;;;;;;;;;
e24oc_zon_mt1_re;e24_drukherverdeling_oc;;text;Metatarsaal 1, rechts;;;number_1dp;0;;;;;;;;;
e24oc_zon_mt23_li;e24_drukherverdeling_oc;;text;Metatarsaal 2-3, links;;;number_1dp;0;;;;;;;;;
e24oc_zon_mt23_re;e24_drukherverdeling_oc;;text;Metatarsaal 2-3, rechts;;;number_1dp;0;;;;;;;;;
e24oc_zon_mt45_li;e24_drukherverdeling_oc;;text;Metatarsaal 4-5, links;;;number_1dp;0;;;;;;;;;
e24oc_zon_mt45_re;e24_drukherverdeling_oc;;text;Metatarsaal 4-5, rechts;;;number_1dp;0;;;;;;;;;
e24oc_zon_hallux_li;e24_drukherverdeling_oc;;text;Hallux, links;;;number_1dp;0;;;;;;;;;
e24oc_zon_hallux_re;e24_drukherverdeling_oc;;text;Hallux, rechts;;;number_1dp;0;;;;;;;;;
e24oc_zon_tenen_li;e24_drukherverdeling_oc;;text;Tenen 2-5, links;;;number_1dp;0;;;;;;;;;
e24oc_zon_tenen_re;e24_drukherverdeling_oc;;text;Tenen 2-5, rechts;;;number_1dp;0;;;;;;;;;
e24oc_d1_regio;e24_drukherverdeling_oc;3. Doelregio’s, norm en aanpassingen;dropdown;Doelregio 1;1, Hiel|2, Mediale middenvoet|3, Laterale middenvoet|4, Metatarsaal 1|5, Metatarsaal 2-3|6, Metatarsaal 4-5|7, Hallux|8, Tenen 2-5;;;;;;;;;;;;
e24oc_d1_zijde;e24_drukherverdeling_oc;;radio;Doelregio 1 — zijde;1, Links|2, Rechts;;;;;;;;;;;;
e24oc_d1_ulcus;e24_drukherverdeling_oc;;yesno;Doelregio 1 — voorgeschiedenis van voetzweer op deze regio;;;;;;;;;;;;;
e24oc_d1_zonder;e24_drukherverdeling_oc;;text;Doelregio 1 — piekdruk zónder de CMFO (kPa);;;number_1dp;0;;;;;;;;;
e24oc_d1_met;e24_drukherverdeling_oc;;text;Doelregio 1 — piekdruk mét de CMFO (kPa);;De waarde die telt: na de laatste aanpassing van deze sessie;number_1dp;0;;;;;;;;;
e24oc_d1_test1;e24_drukherverdeling_oc;;text;Doelregio 1 — extra ontlastingstest 1 (kPa);;Alleen invullen als de norm bij de eerste meting niet gehaald werd;number_1dp;0;;;;;;;;;
e24oc_d1_test2;e24_drukherverdeling_oc;;text;Doelregio 1 — extra ontlastingstest 2 (kPa);;;number_1dp;0;;;;;;;;;
e24oc_d1_reductie;e24_drukherverdeling_oc;;calc;Doelregio 1 — reductie ten opzichte van zónder de CMFO (%);round(([e24oc_d1_zonder]-[e24oc_d1_met])/[e24oc_d1_zonder]*100,1);Wordt berekend;;;;;;;;;;;
e24oc_d1_norm;e24_drukherverdeling_oc;;calc;Doelregio 1 — norm gehaald op deze doelregio;if([e24oc_d1_met]<200 or ([e24oc_d1_zonder]-[e24oc_d1_met])/[e24oc_d1_zonder]>=0.25,1,0);1 = gehaald, 0 = niet gehaald. De norm is piekdruk onder 200 kPa óf minstens 25% lager dan zónder de zool, in dezelfde sessie;;;;;;;;;;;
e24oc_d2_regio;e24_drukherverdeling_oc;;dropdown;Doelregio 2;1, Hiel|2, Mediale middenvoet|3, Laterale middenvoet|4, Metatarsaal 1|5, Metatarsaal 2-3|6, Metatarsaal 4-5|7, Hallux|8, Tenen 2-5;;;;;;;;;;;;
e24oc_d2_zijde;e24_drukherverdeling_oc;;radio;Doelregio 2 — zijde;1, Links|2, Rechts;;;;;;;;;;;;
e24oc_d2_ulcus;e24_drukherverdeling_oc;;yesno;Doelregio 2 — voorgeschiedenis van voetzweer op deze regio;;;;;;;;;;;;;
e24oc_d2_zonder;e24_drukherverdeling_oc;;text;Doelregio 2 — piekdruk zónder de CMFO (kPa);;;number_1dp;0;;;;;;;;;
e24oc_d2_met;e24_drukherverdeling_oc;;text;Doelregio 2 — piekdruk mét de CMFO (kPa);;De waarde die telt: na de laatste aanpassing van deze sessie;number_1dp;0;;;;;;;;;
e24oc_d2_test1;e24_drukherverdeling_oc;;text;Doelregio 2 — extra ontlastingstest 1 (kPa);;Alleen invullen als de norm bij de eerste meting niet gehaald werd;number_1dp;0;;;;;;;;;
e24oc_d2_test2;e24_drukherverdeling_oc;;text;Doelregio 2 — extra ontlastingstest 2 (kPa);;;number_1dp;0;;;;;;;;;
e24oc_d2_reductie;e24_drukherverdeling_oc;;calc;Doelregio 2 — reductie ten opzichte van zónder de CMFO (%);round(([e24oc_d2_zonder]-[e24oc_d2_met])/[e24oc_d2_zonder]*100,1);Wordt berekend;;;;;;;;;;;
e24oc_d2_norm;e24_drukherverdeling_oc;;calc;Doelregio 2 — norm gehaald op deze doelregio;if([e24oc_d2_met]<200 or ([e24oc_d2_zonder]-[e24oc_d2_met])/[e24oc_d2_zonder]>=0.25,1,0);1 = gehaald, 0 = niet gehaald. De norm is piekdruk onder 200 kPa óf minstens 25% lager dan zónder de zool, in dezelfde sessie;;;;;;;;;;;
e24oc_d3_regio;e24_drukherverdeling_oc;;dropdown;Doelregio 3;1, Hiel|2, Mediale middenvoet|3, Laterale middenvoet|4, Metatarsaal 1|5, Metatarsaal 2-3|6, Metatarsaal 4-5|7, Hallux|8, Tenen 2-5;;;;;;;;;;;;
e24oc_d3_zijde;e24_drukherverdeling_oc;;radio;Doelregio 3 — zijde;1, Links|2, Rechts;;;;;;;;;;;;
e24oc_d3_ulcus;e24_drukherverdeling_oc;;yesno;Doelregio 3 — voorgeschiedenis van voetzweer op deze regio;;;;;;;;;;;;;
e24oc_d3_zonder;e24_drukherverdeling_oc;;text;Doelregio 3 — piekdruk zónder de CMFO (kPa);;;number_1dp;0;;;;;;;;;
e24oc_d3_met;e24_drukherverdeling_oc;;text;Doelregio 3 — piekdruk mét de CMFO (kPa);;De waarde die telt: na de laatste aanpassing van deze sessie;number_1dp;0;;;;;;;;;
e24oc_d3_test1;e24_drukherverdeling_oc;;text;Doelregio 3 — extra ontlastingstest 1 (kPa);;Alleen invullen als de norm bij de eerste meting niet gehaald werd;number_1dp;0;;;;;;;;;
e24oc_d3_test2;e24_drukherverdeling_oc;;text;Doelregio 3 — extra ontlastingstest 2 (kPa);;;number_1dp;0;;;;;;;;;
e24oc_d3_reductie;e24_drukherverdeling_oc;;calc;Doelregio 3 — reductie ten opzichte van zónder de CMFO (%);round(([e24oc_d3_zonder]-[e24oc_d3_met])/[e24oc_d3_zonder]*100,1);Wordt berekend;;;;;;;;;;;
e24oc_d3_norm;e24_drukherverdeling_oc;;calc;Doelregio 3 — norm gehaald op deze doelregio;if([e24oc_d3_met]<200 or ([e24oc_d3_zonder]-[e24oc_d3_met])/[e24oc_d3_zonder]>=0.25,1,0);1 = gehaald, 0 = niet gehaald. De norm is piekdruk onder 200 kPa óf minstens 25% lager dan zónder de zool, in dezelfde sessie;;;;;;;;;;;
e24oc_norm_totaal;e24_drukherverdeling_oc;4. Uitkomst en aanpassingen;calc;Aantal doelregio’s waar de norm gehaald is;[e24oc_d1_norm]+[e24oc_d2_norm]+[e24oc_d3_norm];Van drie;;;;;;;;;;;
e24oc_stijging;e24_drukherverdeling_oc;;yesno;Piekdruk op een doelregio met 5% of meer gestegen tegenover de vorige meting;;Ook dan wordt de zool aangepast, ook als de norm nog gehaald wordt;;;;;[e24oc_moment] <> '1';;;;;;
e24oc_aanpassingen;e24_drukherverdeling_oc;;notes;Uitgevoerde aanpassingen aan de CMFO;;Beschrijf per doelregio wat er gewijzigd is;;;;;;;;;;;
e24oc_duplicaat;e24_drukherverdeling_oc;;yesno;Identiek duplicaatpaar aangemaakt;;Zodra de drukdoelen gehaald zijn maakt de pedorthist een tweede, identiek paar;;;;;[e24oc_moment] = '1';;;;;;
e24oc_opmerkingen;e24_drukherverdeling_oc;;notes;Opmerkingen;;;;;;;;;;;;;
e24oc_door;e24_drukherverdeling_oc;;text;Ingevoerd door (initialen);;Initialen van het studieteamlid dat overzet;;;;;;;;;;;
e25_datum;e25_udi_orthotimer;;text;Datum van registratie;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e25_type;e25_udi_orthotimer;Toestelinformatie;text;Naam of type van het toestel;;Orthotimer temperatuursensor;;;;;;;;;;;
e25_fabrikant;e25_udi_orthotimer;;text;Fabrikant;;;;;;;;;;;;;
e25_udi;e25_udi_orthotimer;;text;Referentie- of UDI-nummer;;;;;;;;y;;;;;
e25_handeling;e25_udi_orthotimer;Handeling;radio;Handeling bij dit bezoek;1, Activatie en plaatsing in de CMFO|2, Uitlezing|3, Uitlezing en vervanging van de sensor;;;;;;;y;;;;;
e25_act_datum;e25_udi_orthotimer;;text;Datum van activatie;;;date_dmy;;;;[e25_handeling] = '1';;;;;;
e25_act_tijd;e25_udi_orthotimer;;text;Tijdstip van activatie;;;time;;;;[e25_handeling] = '1';;;;;;
e25_interval;e25_udi_orthotimer;;text;Meetinterval (minuten);;Protocol: 15 minuten;integer;;;;[e25_handeling] = '1';;;;;;
e25_read_datum;e25_udi_orthotimer;;text;Datum van uitlezing;;;date_dmy;;;;[e25_handeling] <> '1';;;;;;
e25_read_tijd;e25_udi_orthotimer;;text;Tijdstip van uitlezing;;;time;;;;[e25_handeling] <> '1';;;;;;
e25_therapeut;e25_udi_orthotimer;;text;Therapeut (initialen);;;;;;;;;;;;;
e25_batterij;e25_udi_orthotimer;;yesno;Batterij vervangen;;"Ongeveer 100 dagen levensduur; elke drie maanden vervangen";;;;;;;;;;;
e25_opmerkingen;e25_udi_orthotimer;;notes;Opmerkingen;;;;;;;;;;;;;
e25_door;e25_udi_orthotimer;;text;Ingevoerd door (initialen);;Initialen van het studieteamlid dat overzet;;;;;;;;;;;
e26_datum;e26_overtuigingen;;text;Datum van afname;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e26_bui_logisch;e26_overtuigingen;1. Geloofwaardigheid en verwachting: buitenschoeisel;text;1. Hoe logisch lijkt de aangeboden behandeling met buitenschoeisel u op dit moment;;1 = helemaal niet logisch, 5 = enigszins logisch, 9 = zeer logisch;integer;1;9;;;y;;;;;
e26_bui_helpen;e26_overtuigingen;;text;2. In welke mate denkt u dat dit buitenschoeisel u zal helpen;;1 = helemaal niet nuttig, 5 = enigszins nuttig, 9 = zeer nuttig;integer;1;9;;;y;;;;;
e26_bui_aanbevelen;e26_overtuigingen;;text;3. Hoe zeker zou u zijn om dit type buitenschoeisel aan te bevelen aan een vriend of vriendin met gelijkaardige problemen;;1 = helemaal niet zeker, 5 = enigszins zeker, 9 = zeer zeker;integer;1;9;;;y;;;;;
e26_bui_bescherming;e26_overtuigingen;;text;4. Vindt u dat uw buitenschoeisel voldoende bescherming biedt tegen letsels zoals uitglijden, vallen of drukwonden;;1 = ja volledig, 5 = enigszins, 9 = helemaal niet;integer;1;9;;;y;;;;;
e26_bui_voetgezond;e26_overtuigingen;;text;5. Hoe denkt u dat uw buitenschoeisel uw voetgezondheid beïnvloedt;;1 = bevordert voetgezondheid, 5 = geen verandering, 9 = verslechtert voetgezondheid;integer;1;9;;;y;;;;;
e26_bui_effect3mnd;e26_overtuigingen;;text;6. Denkt u dat uw buitenschoeisel tegen de volgende afspraak over drie maanden nog hetzelfde effect zal hebben;;1 = ja volledig, 5 = enigszins, 9 = helemaal niet;integer;1;9;;;y;;;;;
e26_bin_logisch;e26_overtuigingen;2. Geloofwaardigheid en verwachting: binnenschoeisel;text;1. Hoe logisch lijkt de aangeboden behandeling met binnenschoeisel u op dit moment;;1 = helemaal niet logisch, 5 = enigszins logisch, 9 = zeer logisch;integer;1;9;;;y;;;;;
e26_bin_helpen;e26_overtuigingen;;text;2. In welke mate denkt u dat dit binnenschoeisel u zal helpen;;1 = helemaal niet nuttig, 5 = enigszins nuttig, 9 = zeer nuttig;integer;1;9;;;y;;;;;
e26_bin_aanbevelen;e26_overtuigingen;;text;3. Hoe zeker zou u zijn om dit type binnenschoeisel aan te bevelen aan een vriend of vriendin met gelijkaardige problemen;;1 = helemaal niet zeker, 5 = enigszins zeker, 9 = zeer zeker;integer;1;9;;;y;;;;;
e26_bin_bescherming;e26_overtuigingen;;text;4. Vindt u dat uw binnenschoeisel voldoende bescherming biedt tegen letsels zoals uitglijden, vallen of drukwonden;;1 = ja volledig, 5 = enigszins, 9 = helemaal niet;integer;1;9;;;y;;;;;
e26_bin_voetgezond;e26_overtuigingen;;text;5. Hoe denkt u dat uw binnenschoeisel uw voetgezondheid beïnvloedt;;1 = bevordert voetgezondheid, 5 = geen verandering, 9 = verslechtert voetgezondheid;integer;1;9;;;y;;;;;
e26_bin_effect3mnd;e26_overtuigingen;;text;6. Denkt u dat uw binnenschoeisel tegen de volgende afspraak over drie maanden nog hetzelfde effect zal hebben;;1 = ja volledig, 5 = enigszins, 9 = helemaal niet;integer;1;9;;;y;;;;;
e26_opmerkingen;e26_overtuigingen;3. Opmerkingen;notes;Opmerkingen;;;;;;;;;;;;;
e26_door;e26_overtuigingen;;text;Ingevoerd door (initialen);;Initialen van het studieteamlid dat overzet;;;;;;;;;;;
e27_datum;e27_udi_movemonitor_retour;;text;Datum van registratie;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e27_udi;e27_udi_movemonitor_retour;Teruggave;text;Referentie- of UDI-nummer;;Moet overeenkomen met eCRF 20;;;;;;y;;;;;
e27_ret_datum;e27_udi_movemonitor_retour;;text;Datum van teruggave;;;date_dmy;;;;;y;;;;;
e27_ret_tijd;e27_udi_movemonitor_retour;;text;Tijdstip van teruggave;;;time;;;;;;;;;;
e27_ontvangen;e27_udi_movemonitor_retour;;text;Ontvangen door (initialen);;;;;;;;;;;;;
e27_staat;e27_udi_movemonitor_retour;;radio;Toestel in goede staat;1, Ja|2, Nee;;;;;;;y;;;;;
e27_data_ok;e27_udi_movemonitor_retour;;yesno;Data volledig uitgelezen;;;;;;;;;;;;;
e27_opmerkingen;e27_udi_movemonitor_retour;;notes;Opmerkingen;;Bij beschadiging of ontbrekende data;;;;;;;;;;;
e27_door;e27_udi_movemonitor_retour;;text;Ingevoerd door (initialen);;Initialen van het studieteamlid dat overzet;;;;;;;;;;;
e28_datum;e28_activiteitenprofiel;;text;Datum van het rapport;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e28_uitleg;e28_activiteitenprofiel;Activiteitenprofiel;descriptive;De podoloog drukt het rapport <i>Physical Activity Report</i> uit de DynaPort-software af en neemt daarvan een samenvatting op in het patiëntspecifieke rapport. SEBIA stap 2.;;;;;;;;;;;;;
e28_stappen;e28_activiteitenprofiel;;text;Gemiddeld aantal stappen per dag;;;integer;0;;;;;;;;;
e28_variabiliteit;e28_activiteitenprofiel;;notes;Variabiliteit in het aantal stappen gedurende de week;;;;;;;;;;;;;
e28_trappen;e28_activiteitenprofiel;;text;Gemiddeld aantal trappen per dag;;;integer;0;;;;;;;;;
e28_verdeling;e28_activiteitenprofiel;;notes;Temporele verdeling van de activiteit gedurende de dag;;;;;;;;;;;;;
e28_waaktijd;e28_activiteitenprofiel;Draagdoel;text;Waaktijd per dag uit het MoveMonitorprofiel (uren);;De tijd tussen de twee nachten;number_1dp;0;24;;;;;;;;
e28_draagdoel;e28_activiteitenprofiel;;calc;Gepersonaliseerd draagdoel: 80% van de waaktijd (uren);round([e28_waaktijd]*0.8,1);Wordt berekend en dient als invoer voor de Orthotimer-software. De 80% wordt één keer toegepast, niet twee keer;;;;;;;;;;;
e28_besproken;e28_activiteitenprofiel;;yesno;Profiel en draagdoel met de deelnemer besproken;;;;;;;;;;;;;
e28_opmerkingen;e28_activiteitenprofiel;;notes;Opmerkingen;;;;;;;;;;;;;
e28_door;e28_activiteitenprofiel;;text;Ingevoerd door (initialen);;Initialen van het studieteamlid dat overzet;;;;;;;;;;;
e29_datum;e29_teach_back;;text;Datum van afname;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e29_instructie;e29_teach_back;Deel A en B. Beoordeelde thema’s en prestatie;descriptive;Vraag de deelnemer het thema in eigen woorden uit te leggen of te demonstreren, bijvoorbeeld: kunt u tonen hoe u dagelijks uw voeten controleert.;;;;;;;;;;;;;
e29_b_inspectie;e29_teach_back;;radio;Dagelijkse voetinspectie;0, Onjuist of niet in staat te herinneren|1, Gedeeltelijk herinnerd, met hulp of kleine correcties|2, Correct en volledig herinnerd, geen hulp nodig;;;;;;;;;;e29_score;;
e29_b_hygiene;e29_teach_back;;radio;Voethygiëne;0, Onjuist of niet in staat te herinneren|1, Gedeeltelijk herinnerd, met hulp of kleine correcties|2, Correct en volledig herinnerd, geen hulp nodig;;;;;;;;;;e29_score;;
e29_b_nagels;e29_teach_back;;radio;Nagelzorg;0, Onjuist of niet in staat te herinneren|1, Gedeeltelijk herinnerd, met hulp of kleine correcties|2, Correct en volledig herinnerd, geen hulp nodig;;;;;;;;;;e29_score;;
e29_b_schoeisel;e29_teach_back;;radio;Gebruik van schoeisel, binnen en buiten;0, Onjuist of niet in staat te herinneren|1, Gedeeltelijk herinnerd, met hulp of kleine correcties|2, Correct en volledig herinnerd, geen hulp nodig;;;;;;;;;;e29_score;;
e29_b_orthese;e29_teach_back;;radio;Gebruik van orthesen;0, Onjuist of niet in staat te herinneren|1, Gedeeltelijk herinnerd, met hulp of kleine correcties|2, Correct en volledig herinnerd, geen hulp nodig;;;;;;;;;;e29_score;;
e29_b_ontlasting;e29_teach_back;;radio;Drukontlastende strategieën;0, Onjuist of niet in staat te herinneren|1, Gedeeltelijk herinnerd, met hulp of kleine correcties|2, Correct en volledig herinnerd, geen hulp nodig;;;;;;;;;;e29_score;;
e29_b_contact;e29_teach_back;;radio;Wanneer contact opnemen met een zorgverlener;0, Onjuist of niet in staat te herinneren|1, Gedeeltelijk herinnerd, met hulp of kleine correcties|2, Correct en volledig herinnerd, geen hulp nodig;;;;;;;;;;e29_score;;
e29_ander_thema;e29_teach_back;;text;Ander thema, welk;;;;;;;;;;;;;
e29_b_ander;e29_teach_back;;radio;Score op het andere thema;0, Onjuist of niet in staat te herinneren|1, Gedeeltelijk herinnerd, met hulp of kleine correcties|2, Correct en volledig herinnerd, geen hulp nodig;;;;;;[e29_ander_thema] <> '';;;;;;
e29_hulp;e29_teach_back;;checkbox;Bij welke thema’s was hulp nodig;1, Dagelijkse voetinspectie|2, Voethygiëne|3, Nagelzorg|4, Gebruik van schoeisel, binnen en buiten|5, Gebruik van orthesen|6, Drukontlastende strategieën|7, Wanneer contact opnemen met een zorgverlener|8, Ander thema;;;;;;;;;;;;
e29_totaal;e29_teach_back;Deel C. Algemene beoordeling;calc;Totale score op de zeven vaste thema’s;[e29_b_inspectie]+[e29_b_hygiene]+[e29_b_nagels]+[e29_b_schoeisel]+[e29_b_orthese]+[e29_b_ontlasting]+[e29_b_contact];Wordt berekend. Maximum 14: zeven thema’s maal 2. De codes zijn de scores zelf, dus de som klopt;;;;;;;;;;;
e29_algemeen;e29_teach_back;;radio;Algemeen herinneringsvermogen;1, Adequaat|2, Matig|3, Onvoldoende;;;;;;;y;;;;;
e29_hiaten;e29_teach_back;;notes;Belangrijkste kennishiaten;;;;;;;;;;;;;
e29_her_inspectie;e29_teach_back;Deel D. Hereducatie;yesno;Voetinspectie opnieuw uitgelegd;;;;;;;;;;;;;
e29_her_schoeisel;e29_teach_back;;yesno;Schoeisel opnieuw uitgelegd;;;;;;;;;;;;;
e29_her_orthese;e29_teach_back;;yesno;Gebruik van orthesen opnieuw uitgelegd;;;;;;;;;;;;;
e29_her_ander;e29_teach_back;;text;Ander thema opnieuw uitgelegd, welk;;;;;;;;;;;;;
e29_vertrouwen;e29_teach_back;Deel E. Vertrouwen van de deelnemer;text;Hoe zeker voelt u zich in het uitvoeren van uw voetverzorging (0-10);;;integer;0;10;;;;;;;;
e29_vragen;e29_teach_back;;notes;Vragen of bezorgdheden van de deelnemer;;;;;;;;;;;;;
e29_door;e29_teach_back;;text;Ingevoerd door (initialen);;Initialen van het studieteamlid dat overzet;;;;;;;;;;;
e31_datum;e31_therapietrouw;;text;Datum van afname;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e31_vas_week;e31_therapietrouw;1. Zelfgerapporteerde therapietrouw;text;Op een schaal van 0 tot 10, hoe vaak heeft u uw voorgeschreven beschermend schoeisel gedragen in de afgelopen week;;0 = nooit, 10 = altijd;integer;0;10;;;y;;;;;
e31_vas_3mnd;e31_therapietrouw;;text;En in de afgelopen drie maanden;;0 = nooit, 10 = altijd;integer;0;10;;;y;;;;;
e31_waarom_open;e31_therapietrouw;2. Open vragen, teach-backmethode;notes;2a. Waarom moet u uw beschermend schoeisel dragen;;Letterlijk noteren wat de deelnemer antwoordt, vóór het coderen;;;;;;;;;;;
e31_waarom;e31_therapietrouw;;checkbox;Codering van het antwoord op 2a;1, Voorkomen van voetulcera|2, Verminderen van druk op de voet|3, Voorkomen van wonden of letsels|4, Bevorderen van genezing van bestaande ulcera|5, Voorkomen van amputatie|6, Bescherming tegen uitwendig trauma|7, Verbeteren van stabiliteit of balans|8, Verminderen van pijn of ongemak|9, Voorkomen van infectie|10, Behouden van mobiliteit of zelfstandigheid|11, Andere;Meerdere antwoorden mogelijk;;;;;;;;;;;
e31_waarom_ander;e31_therapietrouw;;text;Andere reden, welke;;;;;;;[e31_waarom(11)] = '1';;;;;;
e31_wanneer_open;e31_therapietrouw;;notes;2b. Wanneer moet u uw beschermend schoeisel dragen;;Letterlijk noteren;;;;;;;;;;;
e31_wanneer;e31_therapietrouw;;checkbox;Codering van het antwoord op 2b;1, Altijd bij staan of stappen|2, Binnenshuis|3, Buitenshuis|4, Tijdens dagelijkse activiteiten|5, Wanneer men naar buiten gaat|6, Tijdens werk of fysieke activiteit|7, Meteen bij het opstaan uit bed|8, Gedurende de hele dag|9, Telkens bij belasting van de voet|10, Behalve tijdens het slapen|11, Andere;Meerdere antwoorden mogelijk;;;;;;;;;;;
e31_wanneer_ander;e31_therapietrouw;;text;Ander moment, welk;;;;;;;[e31_wanneer(11)] = '1';;;;;;
e31_begrip;e31_therapietrouw;3. Notities van de onderzoeker;radio;Niveau van begrip;1, Goed|2, Gedeeltelijk|3, Onvoldoende;;;;;;;;;;;;
e31_opmerkingen;e31_therapietrouw;;notes;Aanvullende opmerkingen;;;;;;;;;;;;;
e31_door;e31_therapietrouw;;text;Ingevoerd door (initialen);;Initialen van het studieteamlid dat overzet;;;;;;;;;;;
e32_datum;e32_feedback_therapietrouw;;text;Datum van de terugkoppeling;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e32_herkomst;e32_feedback_therapietrouw;Herkomst van dit formulier;descriptive;<b>Let op.</b> Het bronformulier eCRF 32 bevat alleen studie-informatie en geen velden. De velden hieronder zijn opgebouwd uit wat het protocol over de terugkoppeling zegt en moeten bevestigd worden voordat het formulier in gebruik gaat.;;;;;;;;;;;;;
e32_draaguren;e32_feedback_therapietrouw;1. Uitgelezen therapietrouw;text;Gemiddelde draagtijd per dag uit de Orthotimer (uren);;;number_1dp;0;24;;;y;;;;;
e32_doel;e32_feedback_therapietrouw;;text;Gepersonaliseerd draagdoel (uren per dag);;80% van de waaktijd, uit eCRF 28;number_1dp;0;24;;;;;;;;
e32_percentage;e32_feedback_therapietrouw;;calc;Bereikt percentage van het draagdoel;round([e32_draaguren]/[e32_doel]*100,0);Wordt berekend;;;;;;;;;;;
e32_gehaald;e32_feedback_therapietrouw;;calc;Draagdoel gehaald;if([e32_draaguren]>=[e32_doel],1,0);1 = ja, 0 = nee;;;;;;;;;;;
e32_getoond;e32_feedback_therapietrouw;2. Terugkoppeling;yesno;Grafiek of overzicht aan de deelnemer getoond;;;;;;;;;;;;;
e32_besproken;e32_feedback_therapietrouw;;notes;Wat is er met de deelnemer besproken;;Wat ging goed, waar zat de moeilijkheid, welke afspraak is gemaakt;;;;;;;;;;;
e32_barriere;e32_feedback_therapietrouw;;checkbox;Genoemde barrières;1, Comfort of pijn|2, Uiterlijk|3, Praktisch, aan- en uittrekken|4, Vergeten|5, Binnenshuis niet nodig geacht|6, Sociale omgeving|7, Andere;;;;;;;;;;;;
e32_barriere_ander;e32_feedback_therapietrouw;;text;Andere barrière, welke;;;;;;;[e32_barriere(7)] = '1';;;;;;
e32_afspraak;e32_feedback_therapietrouw;;notes;Concrete afspraak tot het volgende bezoek;;;;;;;;;;;;;
e32_reactie;e32_feedback_therapietrouw;;radio;Reactie van de deelnemer op de terugkoppeling;1, Herkent zich erin en wil bijsturen|2, Herkent zich erin maar ziet geen mogelijkheid tot bijsturen|3, Herkent zich er niet in;;;;;;;;;;;;
e32_opmerkingen;e32_feedback_therapietrouw;;notes;Opmerkingen;;;;;;;;;;;;;
e32_door;e32_feedback_therapietrouw;;text;Ingevoerd door (initialen);;Initialen van het studieteamlid dat overzet;;;;;;;;;;;
e33_datum;e33_vervanging;;text;Datum van het consult;;dd-mm-jjjj, zoals op het papieren werkblad;date_dmy;;;;;y;;;;;
e33_behandelaar;e33_vervanging;1. Algemene gegevens;text;Behandelaar;;;;;;;;;;;;;
e33_nieuwe_zolen;e33_vervanging;2. Vervanging van de steunzolen;yesno;Nieuwe op maat gemaakte steunzolen verstrekt;;;;;;;;;;;;;
e33_reden;e33_vervanging;;radio;Reden van vervanging;1, Routine, driemaandelijks|2, Slijtage|3, Drukplekken of huidproblemen|4, Aanpassing nodig|5, Andere;;;;;;[e33_nieuwe_zolen] = '1';;;;;;
e33_reden_ander;e33_vervanging;;text;Andere reden, welke;;;;;;;[e33_reden] = '5';;;;;;
e33_specificaties;e33_vervanging;;notes;Specificaties van de nieuwe steunzolen;;;;;;;[e33_nieuwe_zolen] = '1';;;;;;
